"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","24/1860","72/9399",0.333333333333333,1.68440860215054,2.89552980756025,0.00463740762926699,0.0337577442093153,0.0250771814126343,"9474/843/841/1147/3627/3576/1540/64135/3661/3665/4214/6885/6300/1432/5599/4790/4793/5300/5970/10010/9755/8717/7186/7187",24
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","36/1860","120/9399",0.3,1.51596774193548,2.82539978022484,0.00472608418930415,0.0337577442093153,0.0250771814126343,"207/396/572/581/596/27018/808/814/356/3265/3654/11213/51135/3725/5605/5609/4214/4217/6300/1432/5595/5598/5599/9261/4790/4793/4804/5296/5781/5970/8767/6195/27330/25970/6655/7161",36
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","31/1860","100/9399",0.31,1.5665,2.82877959836865,0.00494746639746329,0.0339532007669049,0.0252223777125579,"6362/6347/6354/1230/2826/729230/1235/1236/1435/6376/2919/3627/10563/2920/2921/6372/3576/4283/3577/3579/7852/643/3587/8807/3559/3560/3561/4055/5196/5473/8743",31
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","31/1860","100/9399",0.31,1.5665,2.82877959836865,0.00494746639746329,0.0339532007669049,0.0252223777125579,"930/914/952/915/1604/925/1378/1379/1380/1435/1441/2057/2208/2209/2323/3112/3113/3122/3123/3126/3590/3553/3559/3574/3575/3672/3675/3676/3655/4311/7037",31
"hsa04672","Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","18/1860","50/9399",0.36,1.81916129032258,2.88462368105576,0.00546419354665839,0.0367782257948161,0.0273209677332919,"2826/940/942/7852/3112/3113/3122/3123/3126/29851/23308/3600/3676/4055/7040/608/8741/10673",18
"hsa04120","Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","41/1860","142/9399",0.288732394366197,1.45902998636983,2.73758377406475,0.00568398150249838,0.0371866985665348,0.0276244046494258,"64682/10393/29882/51434/330/57448/996/997/64326/8454/8452/6923/55120/26232/26272/55294/51343/8925/9817/55958/4214/23295/4281/4734/8554/51588/5371/6502/9320/55236/7325/140739/7326/51465/9040/55585/27338/55284/7337/9354/51366",41
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","25/1860","77/9399",0.324675324675325,1.64065772936741,2.8037171892269,0.00573737635026537,0.0371866985665348,0.0276244046494258,"207/572/581/675/595/1019/1147/1871/2064/10912/5595/5599/2475/4790/5296/5338/51426/10928/5925/5970/6772/7040/7043/7048/7422",25
"hsa00920","Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","6/1860","10/9399",0.6,3.03193548387097,3.1931371003467,0.00600165050067438,0.0381923213679278,0.0283714387304607,"54928/23474/4357/9061/9060/8991",6
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","33/1860","110/9399",0.3,1.51596774193548,2.70365786294168,0.00664413089464397,0.0415258180915248,0.0308477505822756,"207/230/596/1536/1906/112398/112399/1978/6923/2026/2064/3091/3458/3459/92483/4055/5605/5595/2872/2475/4790/5163/5211/5214/5296/5579/5970/5054/7010/7018/7037/7099/7422",33
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","44/1860","157/9399",0.280254777070064,1.41619067187179,2.61202005433496,0.00766484380753234,0.0470648303971284,0.0349624454378668,"6868/240/203859/196527/383/23200/286410/10396/558/9564/682/836/9023/6376/1847/1849/1850/9844/2057/26762/3091/3717/5605/6300/1432/5595/9261/4773/4776/7376/4953/5175/5467/5743/5781/1901/8578/6446/10326/55423/54896/56848/7040/23355",44
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","21/1860","63/9399",0.333333333333333,1.68440860215054,2.70721428785994,0.00779942457504318,0.0470654931252606,0.0349629377501936,"6868/83464/28514/196403/1855/1856/1857/3280/23462/26508/3714/2648/3955/9612/4854/4855/9253/11317/5986/7089/7091",21
